club,club_type,target_distance,power_percent,power_range,final_distance,error,abs_error,iterations,found,reachable
4I,iron,210,0.7726562500000002,123.62500000000003,209.51628750991594,0.48371249008405925,0.48371249008405925,9,True,True
4I,iron,220,0.7960937500000002,127.37500000000003,219.97202034565245,0.02797965434754701,0.02797965434754701,9,True,True
4I,iron,230,0.82099609375,131.359375,229.54731777565468,0.4526822243453239,0.4526822243453239,12,True,True
4I,iron,240,0.8453125000000001,135.25000000000003,240.38358955837333,-0.3835895583733304,0.3835895583733304,8,True,True
4I,iron,250,0.8687500000000001,139.00000000000003,249.76161217641493,0.2383878235850716,0.2383878235850716,6,True,True
4I,iron,260,0.8910156250000001,142.5625,260.2688428757318,-0.26884287573182064,0.26884287573182064,10,True,True
4I,iron,270,0.915625,146.5,270.02382826544476,-0.02382826544476302,0.02382826544476302,7,True,True
4I,iron,280,0.9390625000000001,150.25000000000003,279.5460252687369,0.45397473126308796,0.45397473126308796,8,True,True
4I,iron,290,0.9625,154.0,290.4769788108579,-0.4769788108578723,0.4769788108578723,5,True,True
4I,iron,300,0.9859374999999999,157.75,300.06838614439306,-0.06838614439305957,0.06838614439305957,8,True,True
5I,iron,50,0.34375,51.5625,49.547175257738594,0.4528247422614058,0.4528247422614058,6,True,True
5I,iron,60,0.38125000000000003,57.18750000000001,60.00717010137187,-0.007170101371869464,0.007170101371869464,6,True,True
5I,iron,70,0.4140625,62.109375,69.73292948910427,0.26707051089573497,0.26707051089573497,8,True,True
5I,iron,80,0.446875,67.03125,80.03715716357887,-0.037157163578868335,0.037157163578868335,7,True,True
5I,iron,90,0.47500000000000003,71.25,90.06659183686436,-0.06659183686436165,0.06659183686436165,4,True,True
5I,iron,100,0.503125,75.46875,99.6045410247146,0.3954589752853934,0.3954589752853934,7,True,True
5I,iron,110,0.53359375,80.0390625,109.91878073139284,0.08121926860715689,0.08121926860715689,9,True,True
5I,iron,120,0.5593750000000001,83.90625000000001,119.678911341243,0.3210886587570059,0.3210886587570059,7,True,True
5I,iron,130,0.5875,88.125,130.17148800466546,-0.17148800466546277,0.17148800466546277,5,True,True
5I,iron,140,0.6138671875,92.080078125,139.53761940722697,0.46238059277303023,0.46238059277303023,11,True,True
5I,iron,150,0.6390625000000001,95.85937500000001,149.9282982441921,0.07170175580790783,0.07170175580790783,8,True,True
5I,iron,160,0.6648437500000001,99.72656250000001,159.5611556695197,0.43884433048029337,0.43884433048029337,9,True,True
5I,iron,170,0.690625,103.59375,170.46758351565438,-0.4675835156543826,0.4675835156543826,7,True,True
5I,iron,180,0.71640625,107.4609375,180.42760078864433,-0.4276007886443267,0.4276007886443267,9,True,True
5I,iron,190,0.73984375,110.9765625,190.01656290092268,-0.01656290092267909,0.01656290092267909,9,True,True
5I,iron,200,0.7656250000000001,114.84375000000001,200.22900069156861,-0.2290006915686149,0.2290006915686149,7,True,True
5I,iron,210,0.7890625000000002,118.35937500000003,210.03929402561118,-0.039294025611184225,0.039294025611184225,8,True,True
5I,iron,220,0.8148437500000001,122.22656250000001,220.461835589171,-0.4618355891709882,0.4618355891709882,9,True,True
5I,iron,230,0.8384277343750001,125.76416015625001,230.48705531583767,-0.48705531583766515,0.48705531583766515,13,True,True
5I,iron,240,0.8640625000000002,129.60937500000003,239.8309988678955,0.16900113210451195,0.16900113210451195,8,True,True
5I,iron,250,0.8875000000000001,133.125,249.9612488996297,0.03875110037029117,0.03875110037029117,5,True,True
5I,iron,260,0.9109375,136.640625,260.15162838353297,-0.15162838353296593,0.15162838353296593,8,True,True
5I,iron,270,0.93671875,140.5078125,269.6798417267092,0.32015827329081503,0.32015827329081503,9,True,True
5I,iron,280,0.9625,144.375,280.4936849118469,-0.49368491184691266,0.49368491184691266,5,True,True
6I,iron,50,0.35546875,49.765625,50.26838737508082,-0.26838737508082033,0.26838737508082033,9,True,True
6I,iron,60,0.390625,54.6875,59.90092896843198,0.09907103156802322,0.09907103156802322,7,True,True
6I,iron,70,0.42578125,59.609375,70.22258434024175,-0.22258434024175244,0.22258434024175244,9,True,True
6I,iron,80,0.45625000000000004,63.87500000000001,79.6390975869923,0.3609024130076932,0.3609024130076932,6,True,True
6I,iron,90,0.4890625,68.46875,89.90205766952025,0.09794233047975354,0.09794233047975354,8,True,True
6I,iron,100,0.5195312500000001,72.73437500000001,100.20683908270466,-0.20683908270466134,0.20683908270466134,9,True,True
6I,iron,110,0.5476562500000001,76.67187500000001,109.58849461240018,0.41150538759981714,0.41150538759981714,9,True,True
6I,iron,120,0.576953125,80.7734375,120.38844790409169,-0.3884479040916915,0.3884479040916915,10,True,True
6I,iron,130,0.60390625,84.546875,130.12323792873593,-0.1232379287359322,0.1232379287359322,9,True,True
